Device=mps, Env=AssaultNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.02

episodic_return_mean: 1833.2333333333333
episodic_return_stdev: 481.17089109461057
episodic_length_mean: 7251.066666666667
episodic_length_stdev: 2153.4443130007803
action_switch_mean: 627.5
action_switch_stdev: 185.0531610478273
ts/a_mean: 11.566172480641017
ts/a_stdev: 0.4065233045041856

seed,episodic_return,episodic_length,action_switch
643,2014.0,7320,633
644,1751.0,6656,581
645,2014.0,7320,633
646,1594.0,6168,524
647,2004.0,8344,732
648,2057.0,8216,760
649,1277.0,5240,464
650,1385.0,4984,442
651,2530.0,10872,937
652,1720.0,7000,574
653,1805.0,6488,559
654,1277.0,5240,464
655,1364.0,5506,481
656,1751.0,6656,581
657,798.0,2840,242
658,1720.0,7000,574
659,1678.0,6456,566
660,1364.0,5506,481
661,2530.0,10872,937
662,2561.0,9176,850
663,1751.0,6656,581
664,2561.0,9176,850
665,2906.0,13272,1111
666,1805.0,6488,559
667,1319.0,5272,437
668,2004.0,8344,732
669,2014.0,7320,633
670,2403.0,10488,830
671,1319.0,5272,437
672,1721.0,7384,640
