Device=mps, Env=BreakoutNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.03

episodic_return_mean: 308.46666666666664
episodic_return_stdev: 139.57416353479172
episodic_length_mean: 44690.6
episodic_length_stdev: 48994.847641570326
action_switch_mean: 1006.7333333333333
action_switch_stdev: 753.4101293376044
ts/a_mean: 31.52577571227722
ts/a_stdev: 18.024559857373575

seed,episodic_return,episodic_length,action_switch
643,394.0,8172,466
644,115.0,108000,1947
645,394.0,8172,466
646,418.0,7911,426
647,418.0,7903,426
648,378.0,108000,2278
649,115.0,108000,1947
650,115.0,108000,1947
651,418.0,7919,426
652,115.0,108000,1947
653,394.0,8176,466
654,115.0,108000,1947
655,418.0,7899,426
656,115.0,108000,1947
657,394.0,8184,466
658,115.0,108000,1947
659,115.0,108000,1947
660,418.0,7899,426
661,418.0,7919,426
662,418.0,7927,426
663,115.0,108000,1947
664,418.0,7927,426
665,418.0,7915,426
666,394.0,8176,466
667,394.0,8188,466
668,418.0,7903,426
669,394.0,8172,466
670,115.0,108000,1947
671,394.0,8188,466
672,394.0,8168,466
