Device=mps, Env=MsPacmanNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.03

episodic_return_mean: 2119.0
episodic_return_stdev: 386.19585883241984
episodic_length_mean: 3846.866666666667
episodic_length_stdev: 154.85426593465522
action_switch_mean: 179.86666666666667
action_switch_stdev: 18.32980112263639
ts/a_mean: 21.585955768118207
ts/a_stdev: 2.2548616058405955

seed,episodic_return,episodic_length,action_switch
643,2630.0,3977,165
644,2120.0,3937,204
645,2630.0,3977,165
646,1680.0,3633,172
647,1680.0,3633,173
648,1900.0,3913,141
649,2120.0,3937,204
650,2120.0,3937,204
651,1680.0,3633,173
652,2120.0,3937,205
653,2630.0,3977,166
654,2120.0,3937,204
655,1680.0,3633,173
656,2120.0,3937,204
657,2630.0,3977,165
658,2120.0,3937,205
659,2120.0,3937,203
660,1680.0,3633,173
661,1680.0,3633,173
662,1680.0,3633,172
663,2120.0,3937,204
664,1680.0,3633,172
665,1680.0,3633,172
666,2630.0,3977,166
667,2630.0,3977,166
668,1680.0,3633,173
669,2630.0,3977,165
670,2120.0,3937,203
671,2630.0,3977,166
672,2630.0,3977,165
