Device=mps, Env=PongNoFrameskip-v4, Num episodes: 30, epsilon=0.05, delta=0.00

episodic_return_mean: 18.666666666666668
episodic_return_stdev: 1.881549862495669
episodic_length_mean: 7577.366666666667
episodic_length_stdev: 867.5149798302534
action_switch_mean: 1047.3666666666666
action_switch_stdev: 137.8311018735545
ts/a_mean: 7.250434154705565
ts/a_stdev: 0.19399682902508603

seed,episodic_return,episodic_length,action_switch
643,17.0,7734,1054
644,17.0,8400,1164
645,20.0,7085,1029
646,21.0,6925,940
647,17.0,7742,1072
648,21.0,6952,972
649,20.0,6819,928
650,21.0,6613,912
651,16.0,8917,1249
652,21.0,6615,878
653,21.0,6809,943
654,18.0,7651,1070
655,14.0,9985,1451
656,20.0,7064,949
657,17.0,8838,1229
658,20.0,6990,924
659,17.0,7952,1098
660,16.0,9298,1294
661,18.0,7536,1010
662,18.0,8759,1261
663,18.0,7463,1014
664,18.0,8144,1168
665,18.0,7345,1016
666,19.0,6974,991
667,21.0,6893,965
668,21.0,6857,919
669,19.0,6979,957
670,20.0,7439,1039
671,17.0,7729,1029
672,19.0,6814,896
