Device=mps, Env=SeaquestNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.04

episodic_return_mean: 4088.0
episodic_return_stdev: 1697.2562036091238
episodic_length_mean: 16411.933333333334
episodic_length_stdev: 6704.244661269524
action_switch_mean: 1117.2
action_switch_stdev: 521.0480419970557
ts/a_mean: 15.170675739608873
ts/a_stdev: 1.1623417385736057

seed,episodic_return,episodic_length,action_switch
643,2080.0,8921,530
644,3880.0,14809,997
645,2080.0,8921,530
646,6220.0,25125,1792
647,6220.0,25125,1792
648,2920.0,12729,854
649,3880.0,14809,997
650,3880.0,14809,997
651,6220.0,25125,1792
652,3880.0,14809,997
653,2080.0,8921,530
654,3880.0,14809,997
655,6220.0,25125,1793
656,3880.0,14809,997
657,2080.0,8921,530
658,3880.0,14809,997
659,3880.0,14809,997
660,6220.0,25125,1793
661,6220.0,25125,1792
662,6220.0,25125,1792
663,3880.0,14809,997
664,6220.0,25125,1792
665,6220.0,25125,1792
666,2080.0,8921,530
667,2080.0,8921,530
668,6220.0,25125,1792
669,2080.0,8921,530
670,3880.0,14809,997
671,2080.0,8921,530
672,2080.0,8921,530
