Device=mps, Env=SpaceInvadersNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.03

episodic_return_mean: 1293.5
episodic_return_stdev: 370.62191441990564
episodic_length_mean: 6978.233333333334
episodic_length_stdev: 2735.8907228042635
action_switch_mean: 299.56666666666666
action_switch_stdev: 124.42022325178085
ts/a_mean: 23.903217631333632
ts/a_stdev: 2.029717282116186

seed,episodic_return,episodic_length,action_switch
643,745.0,3237,122
644,1605.0,9969,423
645,745.0,3237,122
646,1465.0,7263,336
647,1465.0,7263,335
648,1400.0,7894,309
649,1605.0,9969,423
650,1605.0,9969,422
651,1465.0,7263,335
652,1605.0,9969,422
653,745.0,3237,122
654,1605.0,9969,423
655,1465.0,7263,336
656,1605.0,9969,423
657,745.0,3237,121
658,1605.0,9969,422
659,1605.0,9969,422
660,1465.0,7263,336
661,1465.0,7263,335
662,1465.0,7263,336
663,1605.0,9969,423
664,1465.0,7263,336
665,1465.0,7263,336
666,745.0,3237,122
667,745.0,3237,122
668,1465.0,7263,335
669,745.0,3237,122
670,1605.0,9969,423
671,745.0,3237,122
672,745.0,3237,121
